0,1
债券指数,招商中债1-5年进出口行C
华安中证全指证券公司分级A,许之彦
景顺长城核心竞争力混合A,混合型
债券型,周鸣
定开债券,国泰安惠收益定期开放债券A
高永,债券指数
前海开源裕瑞混合C,范洁
广发聚安混合A,谢军
交银荣鑫灵活配置混合,唐赟
郑科,混合-FOF
北信瑞丰增强回报,于军华
国联安增利债券A,吕中凡
混合型,何帅
张淼,股票型
南方上证380ETF联接A,杨德龙
华泰柏瑞爱利混合,混合型
混合型,柳世庆
成钧,平安MSCI中国A股ETF联接C
薛小波,泰康产业升级混合A
混合型,易方达瑞恒灵活配置混合
卞勇,万家家瑞债券C
混合型,融通成长30灵活配置混合
定开债券,中银泰享定期开放债券
赵波,股票指数
许文波,德邦锐祺债券A
尹诚庸,万家年年恒荣定开债C
前海开源润和债券C,薛小波
农银汇理研究驱动混合,混合型
申万菱信价值优先混合,袁英杰
王含嫣,中海稳健收益债券
国富新机遇混合C,刘晓
李耀柱,股票型
混合型,国富策略回报混合
蔡志伟,融通量化多策略混合A
